PID,	Sale_Price
908276150,	82813.1
903451090,	139439.4
527110080,	174697.8
535457010,	135726.4
903484020,	133385.5
905479110,	116342
527452310,	130657.3
528228445,	184767.2
923225370,	99552.9
528344040,	348911.7
532377050,	136387.4
535176050,	139323.5
906340100,	342432.1
533212050,	156984.7
909428180,	203070.2
535379110,	134504
534250400,	189179.3
527450520,	101884.6
527452150,	141763.4
903225040,	128486.4
911370410,	277447.8
905226080,	154859.6
914467050,	219476.1
908152260,	151990.2
534451170,	81889.2
923228310,	84057.4
910201180,	143929.4
534476100,	134382.9
923225080,	127780.4
906223210,	241832.3
905480150,	80634.3
903452090,	123297.8
527208010,	367396
906426090,	162791.4
903231090,	132211.5
535152280,	133302.3
528458180,	218492.3
532354060,	123092.8
909279040,	122791.8
527353060,	249744.6
916176030,	150807.2
533110130,	273396.8
911370450,	240826.6
528118110,	300264
528228270,	205843.8
905480240,	88108.8
914460020,	209389.9
534428060,	139697.2
534252240,	150184.6
908102050,	107830.9
914475030,	175017.4
533221040,	174312.1
535451170,	96087.3
905451340,	93905.2
528118040,	445270.1
903200080,	188781
527162110,	186574.9
535381040,	175902.9
528174020,	201411.9
534400290,	170833.3
903206070,	139219.8
533252130,	201695.4
906382030,	243372.7
535327200,	134189.2
535455080,	104599.7
527354160,	178129.2
902207120,	98114.8
909282060,	211142.2
902109140,	131148.5
902206270,	135188.9
533250050,	260342.7
909452050,	246287.8
527212060,	349563.2
906394060,	192516.7
534401120,	155147.3
528435010,	227712.1
528315080,	278104
909275030,	156475
528102010,	380519.5
907200290,	152847.2
902300260,	122301.9
528150110,	400396
535450100,	134225.1
907285010,	240947.2
533253210,	201938.5
527301280,	154005
905478140,	137057.7
902204080,	98644.7
907201280,	139221.9
905476170,	94979.1
923228210,	83956.4
534226120,	129012.9
527301170,	226850.5
535453040,	132991.7
535150300,	220594.6
528363020,	317316.8
907265100,	205559.1
910200060,	129357.5
532376160,	127520.6
908204180,	73277.7
909282130,	137918.8
528326110,	307933.2
534176230,	161577
527302210,	229344
526355170,	272196.7
535305180,	139162.8
905452150,	130842.4
902201090,	130865.5
527452190,	140112.2
908275280,	145314.7
527402210,	132222.7
921126010,	325846.7
905109130,	283392.8
535425070,	174510.7
905200290,	165027.7
533253060,	136288.3
535179050,	146825.7
903476100,	87839.5
533135020,	237450.2
527403120,	105608
528429080,	258006
528354100,	264023.2
902427150,	106296
527226040,	166476.7
924100060,	170883.9
531452180,	215459.5
907252050,	218546.7
903236200,	117874.7
910201130,	116418.8
909100080,	114930.5
535402010,	181815.6
528186100,	342260.1
905225020,	191277.4
905201110,	162509.9
527158090,	182880.9
528175010,	217753
902401010,	114850.4
534251320,	161593
902109120,	124640.8
528290170,	191157.9
534252060,	117770.7
905475510,	110563.8
527425060,	113704.6
534201130,	133778.1
526302110,	119720.3
903430050,	85485.3
902110130,	97676.4
534401110,	145387.6
528231020,	174036.5
531479020,	75096.3
905403060,	112322.1
916326010,	215027
527365030,	225305.3
528228295,	203853.1
527455250,	122481.2
916403040,	191436
527252090,	289562.7
908225240,	111338.2
528228285,	164419.9
908178050,	248955.8
916326040,	183099.8
916380060,	265216.4
903204010,	130183.7
528144020,	223983.6
906204230,	256559.4
528168030,	303871.2
531369060,	181963.2
535451100,	101365.1
906380010,	194709.3
527450460,	104609.6
534277070,	120311.5
532353050,	134766.6
527105140,	199058.5
908102330,	108764.4
907135230,	150514.4
908250030,	72458.6
902103090,	120838.1
528458120,	259820.9
535425060,	171732.1
527404100,	123656.9
905475160,	129853.1
902100010,	111206.4
534202020,	132867.6
533251110,	287145.2
528435050,	289091.4
914476130,	155259.4
924100050,	133518.6
909428280,	299169.5
906230020,	262482.7
923230180,	132684.3
907420090,	194536.9
534250010,	134904.1
532353020,	123755.3
906380180,	195063.4
531363020,	133418.2
906230010,	285214
923225300,	93359.8
527252050,	303587.6
923225440,	92612.5
907280090,	237743.4
527183030,	194559.9
535402220,	179160.6
532376250,	128266.3
914474020,	206469.6
907275090,	224193.9
528138030,	335627.4
908154195,	221030.5
527402240,	160217.1
903228150,	122096.8
531451020,	199502.5
909275250,	147270.8
903484080,	70655.5
534202170,	149664.6
906225180,	190226.6
916460110,	197407
528174010,	187338.7
528228360,	209038.9
903233140,	124668.8
535153150,	163188.9
533212020,	157732.6
909428170,	235168.2
534129060,	210841.8
527163080,	159333.8
908275290,	121461.7
903201020,	126397.1
528431110,	330704.2
903454060,	65876
903206120,	195659.6
527131110,	253784.2
906203120,	302050.1
908102140,	123695
527107210,	193975.8
923204140,	137574.6
527427200,	196523.9
528186170,	214788.2
906226070,	116166.9
527357110,	139321
534278170,	134526.6
534427090,	128767.3
905451390,	148201.7
534152120,	162327.7
535179120,	120487.7
528435060,	275250.4
534427140,	149132.4
903429110,	145555.7
535105110,	168152.6
528366070,	271285.5
534129040,	191455
535454070,	118150.6
903429080,	142338.2
906226090,	142320.8
534479130,	142843.6
527451290,	94851.6
527106150,	202903.3
916253320,	237371.4
916455010,	206465.6
907201220,	133754.9
908188150,	137570
527325090,	198179.6
906402070,	249997.9
909101010,	134508
528221100,	166379.7
528480170,	252278.4
906475110,	191702.9
903228080,	130444.3
528228575,	290055.2
907227080,	127580.5
905109170,	244195.5
528228545,	180546.7
534275010,	133554.2
903425340,	121668.8
902128160,	120371.9
533215040,	282067.3
911202100,	91474.8
528456230,	203028.9
535353160,	127862.9
902100030,	85184.1
528174070,	197325.5
528445070,	231190
902105060,	119304.4
909101140,	137694.3
532354160,	120207.6
528138060,	198312.5
527107090,	187874.6
904100090,	145270
528458130,	314089.3
535477130,	158921.7
533223010,	161302.8
528108140,	361330.8
907202130,	151992
527131030,	258936.5
527453010,	158828
907280170,	210236
528172030,	295607.1
905480210,	100966
902402010,	137632.7
528228555,	174566.6
902404010,	140214.6
907253110,	239261.7
906204150,	260034.8
910201050,	129233
528174030,	197378.7
532476050,	302250.3
907265030,	228513.1
902109160,	113986.6
903231240,	98487.5
902103150,	127490.8
528174040,	201355
916125425,	231149
531478010,	111698.8
916403250,	214370.1
923252080,	118826.9
534175140,	130837.4
902201120,	100507.6
534276190,	109143.9
906392090,	257003.8
916402015,	191074.8
905103110,	132466.1
907203090,	126063.9
903205085,	121934.3
528110080,	343628.8
903225140,	128196.7
903458110,	96508.7
535325350,	127543.3
528439010,	234044.8
535355100,	118762.8
905100060,	129049.5
903231080,	109012.2
902300110,	107340
527451460,	104860.6
535475010,	146106.3
528174050,	199305.8
527450250,	102096.7
905351089,	191449.8
535175050,	143261.9
923226270,	93507
908226120,	113291
531375130,	152715
905401020,	299762.7
527356050,	141223.9
534478140,	129486.2
531375120,	158240.5
908201100,	84531.2
535383060,	63746.3
534250370,	273356.2
528116010,	334991.7
921126030,	264276.4
531375100,	158711.7
535150210,	132927.2
535327160,	133623.1
528228440,	188881.7
528120170,	292991.6
527325110,	188389.3
528108010,	256387.4
909251170,	153624.5
528250020,	193600.4
527105060,	190554.2
534426110,	141022
534201250,	167120
907200170,	135195.5
908102170,	145518.9
535126100,	143163
