Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-03-04,FALSE,21827.9
1,1,2011-03-11,FALSE,21043.39
1,1,2011-03-18,FALSE,22136.64
1,1,2011-03-25,FALSE,26229.21
1,1,2011-04-01,FALSE,57258.43
1,1,2011-04-08,FALSE,42960.91
1,1,2011-04-15,FALSE,17596.96
1,1,2011-04-22,FALSE,16145.35
1,1,2011-04-29,FALSE,16555.11
1,2,2011-03-04,FALSE,48397.98
1,2,2011-03-11,FALSE,43751.94
1,2,2011-03-18,FALSE,43615.49
1,2,2011-03-25,FALSE,41892.55
1,2,2011-04-01,FALSE,47450.5
1,2,2011-04-08,FALSE,46549.73
1,2,2011-04-15,FALSE,45025.02
1,2,2011-04-22,FALSE,44418.11
1,2,2011-04-29,FALSE,45971.3
1,3,2011-03-04,FALSE,12275.58
1,3,2011-03-11,FALSE,10123.45
1,3,2011-03-18,FALSE,9001.37
1,3,2011-03-25,FALSE,10366.85
1,3,2011-04-01,FALSE,11157.08
1,3,2011-04-08,FALSE,10179.29
1,3,2011-04-15,FALSE,9226.8
1,3,2011-04-22,FALSE,8868.93
1,3,2011-04-29,FALSE,9337.44
1,4,2011-03-04,FALSE,38086.19
1,4,2011-03-11,FALSE,32668.67
1,4,2011-03-18,FALSE,34118.11
1,4,2011-03-25,FALSE,33872.07
1,4,2011-04-01,FALSE,37809.49
1,4,2011-04-08,FALSE,36174.43
1,4,2011-04-15,FALSE,34740.19
1,4,2011-04-22,FALSE,33806.71
1,4,2011-04-29,FALSE,33437.8
1,5,2011-03-04,FALSE,23082.14
1,5,2011-03-11,FALSE,21498.92
1,5,2011-03-18,FALSE,22632.57
1,5,2011-03-25,FALSE,38971.89
1,5,2011-04-01,FALSE,29967.92
1,5,2011-04-08,FALSE,18516.45
1,5,2011-04-15,FALSE,11570.27
1,5,2011-04-22,FALSE,24763.98
1,5,2011-04-29,FALSE,22006.41
1,6,2011-03-04,FALSE,4221.25
1,6,2011-03-11,FALSE,5619
1,6,2011-03-18,FALSE,4906.05
1,6,2011-03-25,FALSE,7468.33
1,6,2011-04-01,FALSE,4132.61
1,6,2011-04-08,FALSE,4428.8
1,6,2011-04-15,FALSE,5020.78
1,6,2011-04-22,FALSE,3945.19
1,6,2011-04-29,FALSE,4736.15
1,7,2011-03-04,FALSE,19659.7
1,7,2011-03-11,FALSE,21529.14
1,7,2011-03-18,FALSE,22711.59
1,7,2011-03-25,FALSE,16254.21
1,7,2011-04-01,FALSE,22427.62
1,7,2011-04-08,FALSE,20516.64
1,7,2011-04-15,FALSE,19330.26
1,7,2011-04-22,FALSE,18534.4
1,7,2011-04-29,FALSE,22723.48
1,8,2011-03-04,FALSE,38776.09
1,8,2011-03-11,FALSE,34342.64
1,8,2011-03-18,FALSE,34188.52
1,8,2011-03-25,FALSE,33581.72
1,8,2011-04-01,FALSE,38151.58
1,8,2011-04-08,FALSE,34145.96
1,8,2011-04-15,FALSE,32890.54
1,8,2011-04-22,FALSE,32946.13
1,8,2011-04-29,FALSE,34168.23
1,9,2011-03-04,FALSE,24064.7
1,9,2011-03-11,FALSE,25605.58
1,9,2011-03-18,FALSE,33367.99
1,9,2011-03-25,FALSE,27897.97
1,9,2011-04-01,FALSE,25435.02
1,9,2011-04-08,FALSE,26113.67
1,9,2011-04-15,FALSE,28782.86
1,9,2011-04-22,FALSE,24664.06
1,9,2011-04-29,FALSE,24035.42
1,10,2011-03-04,FALSE,33299.27
1,10,2011-03-11,FALSE,28208
1,10,2011-03-18,FALSE,33731.81
1,10,2011-03-25,FALSE,31406.96
1,10,2011-04-01,FALSE,31794.04
1,10,2011-04-08,FALSE,32486.28
1,10,2011-04-15,FALSE,32134.61
1,10,2011-04-22,FALSE,29091.15
1,10,2011-04-29,FALSE,30666.59
1,11,2011-03-04,FALSE,19082.9
1,11,2011-03-11,FALSE,17864.32
1,11,2011-03-18,FALSE,19738.42
1,11,2011-03-25,FALSE,17592.13
1,11,2011-04-01,FALSE,21762.46
1,11,2011-04-08,FALSE,22186.81
1,11,2011-04-15,FALSE,19991.95
1,11,2011-04-22,FALSE,17349.9
1,11,2011-04-29,FALSE,20001.75
1,12,2011-03-04,FALSE,10239.06
1,12,2011-03-11,FALSE,12386.15
1,12,2011-03-18,FALSE,12917.55
1,12,2011-03-25,FALSE,11865.53
1,12,2011-04-01,FALSE,12033.5
1,12,2011-04-08,FALSE,10109
1,12,2011-04-15,FALSE,11187.99
1,12,2011-04-22,FALSE,11556.42
1,12,2011-04-29,FALSE,10651.84
1,13,2011-03-04,FALSE,40423.95
1,13,2011-03-11,FALSE,35833.07
1,13,2011-03-18,FALSE,36807.21
1,13,2011-03-25,FALSE,35431.73
1,13,2011-04-01,FALSE,38104.53
1,13,2011-04-08,FALSE,37638.44
1,13,2011-04-15,FALSE,36663.26
1,13,2011-04-22,FALSE,36058.1
1,13,2011-04-29,FALSE,36717.2
1,14,2011-03-04,FALSE,18268.78
1,14,2011-03-11,FALSE,15331.75
1,14,2011-03-18,FALSE,12738.78
1,14,2011-03-25,FALSE,12832.47
1,14,2011-04-01,FALSE,14333.75
1,14,2011-04-08,FALSE,12874.07
1,14,2011-04-15,FALSE,12309.14
1,14,2011-04-22,FALSE,12749.37
1,14,2011-04-29,FALSE,12172.32
1,16,2011-03-04,FALSE,17129.81
1,16,2011-03-11,FALSE,23766.82
1,16,2011-03-18,FALSE,41742.21
1,16,2011-03-25,FALSE,26679.52
1,16,2011-04-01,FALSE,46060.69
1,16,2011-04-08,FALSE,52976.67
1,16,2011-04-15,FALSE,59543.22
1,16,2011-04-22,FALSE,51604.72
1,16,2011-04-29,FALSE,48858.08
1,17,2011-03-04,FALSE,12657.65
1,17,2011-03-11,FALSE,12793.17
1,17,2011-03-18,FALSE,11097.8
1,17,2011-03-25,FALSE,8900.01
1,17,2011-04-01,FALSE,9572.23
1,17,2011-04-08,FALSE,8159.34
1,17,2011-04-15,FALSE,7790.67
1,17,2011-04-22,FALSE,8036.98
1,17,2011-04-29,FALSE,8769.42
1,18,2011-03-04,FALSE,634.61
1,18,2011-03-11,FALSE,1275.08
1,18,2011-03-18,FALSE,2303.36
1,18,2011-03-25,FALSE,4037.16
1,18,2011-04-01,FALSE,17916.41
1,18,2011-04-08,FALSE,8668.06
1,18,2011-04-15,FALSE,584.56
1,18,2011-04-22,FALSE,65.24
1,18,2011-04-29,FALSE,0
1,19,2011-03-04,FALSE,1556.65
1,19,2011-03-11,FALSE,1742.14
1,19,2011-03-18,FALSE,1881.91
1,19,2011-03-25,FALSE,2153.61
1,19,2011-04-01,FALSE,1514.32
1,19,2011-04-08,FALSE,1880.64
1,19,2011-04-15,FALSE,1483.5
1,19,2011-04-22,FALSE,1577.25
1,19,2011-04-29,FALSE,1384.69
1,20,2011-03-04,FALSE,4215.67
1,20,2011-03-11,FALSE,6476.41
1,20,2011-03-18,FALSE,4458.06
1,20,2011-03-25,FALSE,4195.7
1,20,2011-04-01,FALSE,3468.69
1,20,2011-04-08,FALSE,3010.11
1,20,2011-04-15,FALSE,3284.41
1,20,2011-04-22,FALSE,3008.93
1,20,2011-04-29,FALSE,3957.01
1,21,2011-03-04,FALSE,8275.44
1,21,2011-03-11,FALSE,7785.3
1,21,2011-03-18,FALSE,7829.35
1,21,2011-03-25,FALSE,7121.77
1,21,2011-04-01,FALSE,8432.73
1,21,2011-04-08,FALSE,8152.57
1,21,2011-04-15,FALSE,6907.06
1,21,2011-04-22,FALSE,7127.27
1,21,2011-04-29,FALSE,7665.23
1,22,2011-03-04,FALSE,8219.49
1,22,2011-03-11,FALSE,10372.48
1,22,2011-03-18,FALSE,9338.09
1,22,2011-03-25,FALSE,7464.39
1,22,2011-04-01,FALSE,7589.35
1,22,2011-04-08,FALSE,7407.71
1,22,2011-04-15,FALSE,6788.1
1,22,2011-04-22,FALSE,5816.92
1,22,2011-04-29,FALSE,5271.14
1,23,2011-03-04,FALSE,18993.69
1,23,2011-03-11,FALSE,17426.63
1,23,2011-03-18,FALSE,20132.03
1,23,2011-03-25,FALSE,19105.92
1,23,2011-04-01,FALSE,18666.57
1,23,2011-04-08,FALSE,21678.02
1,23,2011-04-15,FALSE,19811.02
1,23,2011-04-22,FALSE,19377.76
1,23,2011-04-29,FALSE,18274.46
1,24,2011-03-04,FALSE,6885.9
1,24,2011-03-11,FALSE,5396.96
1,24,2011-03-18,FALSE,4519.82
1,24,2011-03-25,FALSE,4618.27
1,24,2011-04-01,FALSE,7219.38
1,24,2011-04-08,FALSE,6358.78
1,24,2011-04-15,FALSE,5536.07
1,24,2011-04-22,FALSE,5160.08
1,24,2011-04-29,FALSE,4628.59
1,25,2011-03-04,FALSE,10345.5
1,25,2011-03-11,FALSE,10705.75
1,25,2011-03-18,FALSE,12213.5
1,25,2011-03-25,FALSE,13876.5
1,25,2011-04-01,FALSE,14964.5
1,25,2011-04-08,FALSE,12906
1,25,2011-04-15,FALSE,12360.85
1,25,2011-04-22,FALSE,11295.45
1,25,2011-04-29,FALSE,11435.6
1,26,2011-03-04,FALSE,8772.65
1,26,2011-03-11,FALSE,7877.4
1,26,2011-03-18,FALSE,7923.66
1,26,2011-03-25,FALSE,5870.09
1,26,2011-04-01,FALSE,9137.94
1,26,2011-04-08,FALSE,9152.08
1,26,2011-04-15,FALSE,8671.28
1,26,2011-04-22,FALSE,7827.17
1,26,2011-04-29,FALSE,7971.44
1,27,2011-03-04,FALSE,1467.5
1,27,2011-03-11,FALSE,1130
1,27,2011-03-18,FALSE,1214
1,27,2011-03-25,FALSE,1211
1,27,2011-04-01,FALSE,934.5
1,27,2011-04-08,FALSE,1111.25
1,27,2011-04-15,FALSE,1021.5
1,27,2011-04-22,FALSE,1028
1,27,2011-04-29,FALSE,1061.29
1,28,2011-03-04,FALSE,1002.2
1,28,2011-03-11,FALSE,838.67
1,28,2011-03-18,FALSE,806.03
1,28,2011-03-25,FALSE,726.11
1,28,2011-04-01,FALSE,995.36
1,28,2011-04-08,FALSE,1151.63
1,28,2011-04-15,FALSE,582.63
1,28,2011-04-22,FALSE,627.02
1,28,2011-04-29,FALSE,691.4
1,29,2011-03-04,FALSE,5306.7
1,29,2011-03-11,FALSE,3841.96
1,29,2011-03-18,FALSE,5406.4
1,29,2011-03-25,FALSE,3520.75
1,29,2011-04-01,FALSE,4143.54
1,29,2011-04-08,FALSE,4317.52
1,29,2011-04-15,FALSE,3963.5
1,29,2011-04-22,FALSE,4187.11
1,29,2011-04-29,FALSE,3793.75
1,30,2011-03-04,FALSE,4360.5
1,30,2011-03-11,FALSE,3021.5
1,30,2011-03-18,FALSE,3822.5
1,30,2011-03-25,FALSE,3324
1,30,2011-04-01,FALSE,4278.26
1,30,2011-04-08,FALSE,4406.48
1,30,2011-04-15,FALSE,4380.38
1,30,2011-04-22,FALSE,4283.99
1,30,2011-04-29,FALSE,3728.17
1,31,2011-03-04,FALSE,2595.8
1,31,2011-03-11,FALSE,2103.34
1,31,2011-03-18,FALSE,2254.44
1,31,2011-03-25,FALSE,1945.42
1,31,2011-04-01,FALSE,1601
1,31,2011-04-08,FALSE,1438.34
1,31,2011-04-15,FALSE,1514.42
1,31,2011-04-22,FALSE,1486.42
1,31,2011-04-29,FALSE,1421.25
1,32,2011-03-04,FALSE,9907.51
1,32,2011-03-11,FALSE,6938.45
1,32,2011-03-18,FALSE,6175.31
1,32,2011-03-25,FALSE,6698.76
1,32,2011-04-01,FALSE,7648.28
1,32,2011-04-08,FALSE,8763.71
1,32,2011-04-15,FALSE,6829.55
1,32,2011-04-22,FALSE,5933.18
1,32,2011-04-29,FALSE,9109.86
1,33,2011-03-04,FALSE,6214.6
1,33,2011-03-11,FALSE,5666.25
1,33,2011-03-18,FALSE,6811.15
1,33,2011-03-25,FALSE,4708.77
1,33,2011-04-01,FALSE,7681.63
1,33,2011-04-08,FALSE,6205.64
1,33,2011-04-15,FALSE,4749.75
1,33,2011-04-22,FALSE,5083.75
1,33,2011-04-29,FALSE,4844
1,34,2011-03-04,FALSE,12571.5
1,34,2011-03-11,FALSE,11709
1,34,2011-03-18,FALSE,13394
1,34,2011-03-25,FALSE,9637.83
1,34,2011-04-01,FALSE,10282.66
1,34,2011-04-08,FALSE,13863.66
1,34,2011-04-15,FALSE,13632.64
1,34,2011-04-22,FALSE,12504.5
1,34,2011-04-29,FALSE,10679.49
1,35,2011-03-04,FALSE,2752
1,35,2011-03-11,FALSE,2926
1,35,2011-03-18,FALSE,2861
1,35,2011-03-25,FALSE,1939
1,35,2011-04-01,FALSE,2275
1,35,2011-04-08,FALSE,3942
1,35,2011-04-15,FALSE,3204
1,35,2011-04-22,FALSE,3047
1,35,2011-04-29,FALSE,2454
1,36,2011-03-04,FALSE,648
1,36,2011-03-11,FALSE,891
1,36,2011-03-18,FALSE,937
1,36,2011-03-25,FALSE,703
1,36,2011-04-01,FALSE,886.5
1,36,2011-04-08,FALSE,807
1,36,2011-04-15,FALSE,1144.12
1,36,2011-04-22,FALSE,433.5
1,36,2011-04-29,FALSE,1107
1,37,2011-03-04,FALSE,3647.82
1,37,2011-03-11,FALSE,3053.13
1,37,2011-03-18,FALSE,2915.9
1,37,2011-03-25,FALSE,2440.16
1,37,2011-04-01,FALSE,2973.38
1,37,2011-04-08,FALSE,2573.42
1,37,2011-04-15,FALSE,2800.67
1,37,2011-04-22,FALSE,2783.93
1,37,2011-04-29,FALSE,3083.11
1,38,2011-03-04,FALSE,108282.86
1,38,2011-03-11,FALSE,98175.35
1,38,2011-03-18,FALSE,71165.72
1,38,2011-03-25,FALSE,95855.41
1,38,2011-04-01,FALSE,101566.87
1,38,2011-04-08,FALSE,98689.46
1,38,2011-04-15,FALSE,77602
1,38,2011-04-22,FALSE,87205.88
1,38,2011-04-29,FALSE,127811.89
1,40,2011-03-04,FALSE,67000.83
1,40,2011-03-11,FALSE,59799.42
1,40,2011-03-18,FALSE,57384.35
1,40,2011-03-25,FALSE,57837.28
1,40,2011-04-01,FALSE,62278.04
1,40,2011-04-08,FALSE,59141.39
1,40,2011-04-15,FALSE,58400.17
1,40,2011-04-22,FALSE,58623.36
1,40,2011-04-29,FALSE,57805.71
1,41,2011-03-04,FALSE,1405.96
1,41,2011-03-11,FALSE,1072.8
1,41,2011-03-18,FALSE,1005.76
1,41,2011-03-25,FALSE,1578.63
1,41,2011-04-01,FALSE,1450.76
1,41,2011-04-08,FALSE,1346
1,41,2011-04-15,FALSE,1057
1,41,2011-04-22,FALSE,879
1,41,2011-04-29,FALSE,723
1,42,2011-03-04,FALSE,9701.14
1,42,2011-03-11,FALSE,8336.82
1,42,2011-03-18,FALSE,9019.85
1,42,2011-03-25,FALSE,8308.66
1,42,2011-04-01,FALSE,9263.75
1,42,2011-04-08,FALSE,8830.76
1,42,2011-04-15,FALSE,8910.56
1,42,2011-04-22,FALSE,7670.8
1,42,2011-04-29,FALSE,9368.81
1,44,2011-03-04,FALSE,4465.33
1,44,2011-03-11,FALSE,4914.41
1,44,2011-03-18,FALSE,3680.66
1,44,2011-03-25,FALSE,4014.61
1,44,2011-04-01,FALSE,4216.19
1,44,2011-04-08,FALSE,3689.94
1,44,2011-04-15,FALSE,4159.49
1,44,2011-04-22,FALSE,4486.95
1,44,2011-04-29,FALSE,4414.76
1,45,2011-03-04,FALSE,74.35
1,45,2011-03-11,FALSE,29.97
1,45,2011-03-18,FALSE,8.5
1,45,2011-04-22,FALSE,23.97
1,46,2011-03-04,FALSE,20565.45
1,46,2011-03-11,FALSE,18114.67
1,46,2011-03-18,FALSE,18317.46
1,46,2011-03-25,FALSE,16803.77
1,46,2011-04-01,FALSE,19053.49
1,46,2011-04-08,FALSE,17682.48
1,46,2011-04-15,FALSE,17394.72
1,46,2011-04-22,FALSE,17825.26
1,46,2011-04-29,FALSE,18120.31
1,47,2011-03-11,FALSE,-698
1,47,2011-04-08,FALSE,14
1,48,2011-03-04,FALSE,771
1,48,2011-03-11,FALSE,608
1,48,2011-03-18,FALSE,467
1,48,2011-03-25,FALSE,374
1,48,2011-04-01,FALSE,247
1,48,2011-04-08,FALSE,761
1,48,2011-04-15,FALSE,514
1,48,2011-04-22,FALSE,671
1,49,2011-03-04,FALSE,16445.28
1,49,2011-03-11,FALSE,13267.5
1,49,2011-03-18,FALSE,11201
1,49,2011-03-25,FALSE,11310.4
1,49,2011-04-01,FALSE,12755.33
1,49,2011-04-08,FALSE,9267.4
1,49,2011-04-15,FALSE,9964.15
1,49,2011-04-22,FALSE,12738.26
1,49,2011-04-29,FALSE,9093.27
1,52,2011-03-04,FALSE,3212.82
1,52,2011-03-11,FALSE,2492.52
1,52,2011-03-18,FALSE,2947.03
1,52,2011-03-25,FALSE,3336.81
1,52,2011-04-01,FALSE,3168.93
1,52,2011-04-08,FALSE,2978.6
1,52,2011-04-15,FALSE,2426.68
1,52,2011-04-22,FALSE,2742.02
1,52,2011-04-29,FALSE,2625.26
1,54,2011-03-04,FALSE,198.97
1,54,2011-03-11,FALSE,239
1,54,2011-03-18,FALSE,83
1,54,2011-03-25,FALSE,180
1,54,2011-04-01,FALSE,220
1,54,2011-04-15,FALSE,211.97
1,54,2011-04-22,FALSE,88
1,54,2011-04-29,FALSE,277
